id,x,y,radius,is_spanning
0,169.439,298,2,1
1,549.024,254.873,2,1
2,267.579,255.521,2,1
3,557.19,5.73736,2,1
4,109.369,36.1961,2,1
5,383.772,254.561,2,1
6,136.218,290.718,2,1
7,83.1543,283.941,2,1
8,154.23,158.564,2,1
9,458.331,51.8787,2,0
10,383.642,282.794,2,1
11,201.183,238.025,2,1
12,183.147,209.02,2,1
13,417.719,258.97,2,1
14,469.22,269.693,2,1
15,83.9936,184.069,2,1
16,18.099,43.2974,2,1
17,549.094,246.825,2,1
18,400.956,213.426,2,1
19,135.887,257.113,2,1
20,431.466,58.4542,2,1
21,406.445,149.468,2,1
22,571.981,235.949,2,1
23,26.7222,173.77,2,1
24,7.14495,4.88613,2,0
25,193.516,16.7239,2,0
26,464.825,27.7212,2,1
27,428.778,288.306,2,1
28,87.6446,223.499,2,1
29,380.471,155.08,2,1
30,468.953,55.9575,2,0
31,16.4158,184.187,2,1
32,381.187,123.376,2,1
33,422.741,261.181,2,1
34,540.364,217.673,2,1
35,593.836,236.048,2,1
36,40.1384,188.779,2,1
37,506.313,191.024,2,1
38,217.138,20.5782,2,0
39,107.245,106.171,2,1
40,557.408,201.887,2,1
41,56.5431,287.269,2,1
42,415.521,255.551,2,1
43,447.692,241.787,2,1
44,278.323,200.967,2,1
45,141.446,128.763,2,1
46,406.462,269.448,2,1
47,555.433,216.67,2,1
48,179.157,230.388,2,1
49,433.391,134.521,2,1
50,543.436,75.0719,2,1
51,44.835,122.026,2,1
52,159.167,120.618,2,1
53,504.346,125.765,2,1
54,517.263,120.351,2,1
55,423.083,209.854,2,1
56,8.31074,80.0836,2,1
57,370.029,52.1547,2,1
58,526.683,108.23,2,1
59,176.936,84.3269,2,1
60,67.1302,107.649,2,1
61,462.923,159.119,2,1
62,459.357,251.129,2,1
63,237.449,191.91,2,1
64,76.1291,182.657,2,1
65,19.2633,111.554,2,1
66,466.231,106.102,2,1
67,167.52,165.752,2,1
68,55.2357,283.442,2,1
69,125.034,60.3377,2,0
70,264.585,213.141,2,1
71,364.255,69.7384,2,0
72,379.781,36.1509,2,1
73,314.76,194.275,2,1
74,377.92,137.908,2,1
75,292.945,15.7594,2,1
76,113.805,2,2,1
77,15.7688,231.637,2,1
78,82.8993,91.4792,2,1
79,444.336,221.88,2,1
