id,x,y,radius,is_spanning
0,133.178,208.369,2,1
1,266.897,54.8826,2,1
2,169.738,138.433,2,1
3,102.247,84.1526,2,0
4,76.026,210.809,2,1
5,272.938,188.402,2,1
6,397.059,113.555,2,1
7,534.418,127.333,2,1
8,11.527,45.4914,2,1
9,149.576,227.609,2,1
10,240.021,76.072,2,1
11,440.512,60.0493,2,1
12,304.893,164.816,2,1
13,330.681,145.219,2,1
14,10.1605,6.0199,2,1
15,396.022,94.0652,2,1
16,150.909,51.3098,2,1
17,594.845,239.746,2,1
18,238.849,11.3989,2,1
19,201.37,218.984,2,1
20,477.466,225.734,2,1
21,144.614,112.604,2,1
22,58.9249,88.5566,2,1
23,310.234,181.918,2,1
24,88.7039,259.432,2,1
25,532.511,77.8165,2,0
26,176.717,88.8751,2,1
27,257.624,9.93651,2,1
28,362.152,275.737,2,1
29,435.499,146.691,2,1
30,5.15955,244.215,2,1
31,539.136,164.845,2,1
32,380.625,108.974,2,1
33,281.246,72.685,2,1
34,414.056,13.3141,2,1
35,23.1858,199.509,2,1
36,298.339,54.8253,2,1
37,577.803,87.5267,2,1
38,279.751,261.141,2,1
39,88.4332,91.7039,2,1
40,381.006,293.045,2,1
41,439.934,83.6647,2,1
42,384.543,132.02,2,1
43,433.862,44.3772,2,1
44,388.02,267.535,2,1
45,39.7795,113.04,2,1
46,598.737,9.46467,2,1
47,508.17,106.564,2,1
48,443.388,265.261,2,1
49,10.0258,100.789,2,1
50,451.316,39.2104,2,1
51,229.11,92.4858,2,1
52,559.242,112.62,2,1
53,295.222,162.18,2,1
54,436.101,187.51,2,1
55,551.431,184.877,2,1
56,365.979,238.176,2,1
57,244.367,59.8499,2,1
58,547.813,250.15,2,1
59,96.7522,167.601,2,1
60,291.63,2,2,1
61,385.894,271.616,2,1
62,313.482,125.673,2,1
63,161.881,207.597,2,1
64,144.721,18.9172,2,0
65,265.655,102.708,2,1
66,326.64,146.014,2,1
67,154.037,241.85,2,1
68,350.827,93.2732,2,1
69,247.678,290.228,2,1
70,68.7027,167.793,2,1
71,100.257,255.3,2,1
72,219.721,37.8073,2,1
73,567.437,215,2,1
74,290.485,161.847,2,1
75,204.704,13.7021,2,1
76,218.174,204.376,2,1
77,175.938,145.304,2,1
78,35.8094,147.143,2,1
79,195.965,75.5722,2,1
80,481.726,271.683,2,1
81,9.52847,41.953,2,1
82,95.2688,74.365,2,1
83,303.764,135.565,2,1
84,151.446,43.4133,2,1
85,256.794,81.9611,2,1
86,459.796,38.6028,2,1
87,499.172,118.897,2,1
88,232.724,146.995,2,1
89,396.903,273.233,2,1
90,157.584,247.158,2,1
91,588.256,211.019,2,1
92,328.113,193.687,2,1
93,16.7507,69.1766,2,1
94,162.923,133.929,2,1
95,50.0117,65.2986,2,1
96,359.15,58.8832,2,1
97,466.127,41.9804,2,1
98,189.35,162.788,2,1
99,528.657,224.882,2,1
100,243.279,250.515,2,1
101,196.933,84.5998,2,1
102,73.5572,228.728,2,1
103,497.641,110.467,2,1
104,240.262,116.487,2,1
105,258.419,92.2553,2,1
106,466.417,130.161,2,1
107,272.649,45.4756,2,0
108,585.385,14.8562,2,1
109,207.313,251.13,2,1
110,136.594,156.664,2,1
111,153.712,228.553,2,1
112,201.442,100.705,2,1
113,476.827,97.9216,2,1
114,100.243,234.956,2,1
115,225.775,204.981,2,1
116,343.626,82.3252,2,1
117,213.37,244.931,2,1
118,215.365,197.748,2,1
119,455.825,48.0864,2,1
120,145.727,124.605,2,1
121,523.501,155.067,2,1
122,36.2612,50.5942,2,1
123,341.323,161.958,2,1
124,118.801,18.3504,2,1
125,491.976,208.429,2,1
126,342.121,293.157,2,1
127,357.191,136.356,2,1
128,482.169,108,2,1
129,161.826,20.468,2,1
130,141.148,176.66,2,1
131,189.473,241.931,2,1
132,571.969,104.695,2,1
133,567.912,50.2398,2,1
134,512.629,277.444,2,1
