id,x,y,radius,is_spanning
0,133.584,18.3907,2,1
1,582.184,137.342,2,1
2,563.273,167.572,2,1
3,72.9788,278.958,2,1
4,321.003,77.9393,2,1
5,565.232,292.01,2,1
6,513.24,149.021,2,1
7,90.935,254.884,2,1
8,68.096,220.113,2,1
9,469.893,94.1125,2,1
10,208.686,105.79,2,1
11,40.5918,57.9528,2,1
12,575.304,167.833,2,1
13,405.809,146.857,2,1
14,490.059,251.46,2,1
15,133.268,11.8754,2,1
16,204.745,258.401,2,1
17,440.735,22.9222,2,1
18,377.409,31.6908,2,1
19,293.523,196.248,2,1
20,449.378,232.313,2,1
21,428.347,56.6276,2,1
22,279.849,152.983,2,1
23,191.258,267.239,2,1
24,203.683,272.899,2,1
25,92.9502,172.396,2,1
26,344.885,66.136,2,1
27,514.663,88.4903,2,1
28,518.457,228.301,2,1
29,561.768,200.585,2,1
30,496.136,214.56,2,1
31,18.4974,32.6395,2,1
32,191.274,95.0238,2,1
33,264.664,21.4863,2,1
34,435.815,191.903,2,1
35,80.8495,234.993,2,1
36,102.509,221.386,2,1
37,212.383,73.5334,2,1
38,241.801,20.9095,2,1
39,162.418,128.656,2,1
40,383.23,267.958,2,1
41,365.173,125.565,2,1
42,241.417,135.755,2,1
43,236.26,9.80191,2,1
44,572.934,290.173,2,1
45,588.165,76.3298,2,1
46,97.0006,270.287,2,1
47,575.424,273.016,2,1
48,472.702,5.66651,2,1
49,96.1796,146.122,2,1
50,481.135,25.0409,2,1
51,140.689,233.814,2,1
52,328.891,200.315,2,1
53,67.8512,162.073,2,1
54,248.686,2,2,1
55,353.057,103.953,2,1
56,439.251,185.968,2,1
57,67.9971,9.99877,2,1
58,29.0141,146.698,2,1
59,118.502,167.569,2,1
60,98.3159,34.7653,2,1
61,548.487,206.836,2,1
62,43.0651,80.0938,2,1
63,586.278,222.148,2,1
64,135.685,140.129,2,1
65,254.523,126.901,2,1
66,57.0655,215.451,2,1
67,248.606,258.997,2,1
68,139.683,140.511,2,1
69,471.242,231.632,2,1
70,480.847,56.3487,2,0
71,229.039,197.969,2,1
72,581.381,26.2737,2,1
73,241.053,268.83,2,1
74,308.541,192.211,2,1
75,317.655,124.699,2,1
76,536.088,247.969,2,1
77,432.186,193.596,2,1
78,119.474,3.8693,2,1
79,531.335,146.231,2,1
80,177.314,288.014,2,1
81,98.8987,83.6844,2,1
82,505.105,233.175,2,1
83,159.484,236.331,2,1
84,263.962,64.8266,2,1
85,595.972,5.57669,2,1
86,459.189,256.746,2,1
87,580.664,97.9085,2,1
88,526.373,246.358,2,1
89,211.516,30.3773,2,1
90,170.689,226.628,2,1
91,503.485,294.602,2,1
92,515.382,263.489,2,1
93,156.318,174.616,2,1
94,266.851,136.2,2,1
95,66.5745,85.448,2,0
96,222.939,27.4855,2,1
97,103.047,105.693,2,1
98,160.802,213.627,2,1
99,159.653,165.115,2,1
100,144.297,19.3182,2,1
101,433.136,152.319,2,1
102,383.885,120.131,2,1
103,482.617,169.526,2,1
104,556.162,96.8795,2,1
105,490.869,85.2418,2,1
106,450.813,250.402,2,1
107,377.487,194.551,2,1
108,337.353,235.879,2,1
109,516.383,257.024,2,1
110,455.632,194.828,2,1
111,503.893,83.0601,2,1
112,66.7642,60.5134,2,1
113,524.976,47.5928,2,1
114,255.706,215.808,2,1
115,299.038,276.643,2,1
116,481.23,71.1952,2,1
117,245.477,280.869,2,1
118,255.683,57.435,2,1
119,125.24,67.1802,2,1
120,223.045,170.629,2,1
121,25.1778,208.339,2,1
122,54.497,164.778,2,1
123,45.0233,68.2005,2,1
124,400.042,196.417,2,1
125,287.6,53.4248,2,0
126,541.151,226.165,2,1
127,38.6442,82.9023,2,1
128,225.869,12.9164,2,1
129,145.684,36.3742,2,1
130,364.118,22.1233,2,1
131,572.191,244.82,2,1
132,386.995,100.574,2,1
133,590.001,110.519,2,1
134,153.247,107.557,2,1
135,348.187,55.4171,2,1
136,538.306,191.944,2,1
137,173.294,180.931,2,1
138,406.062,236.295,2,1
139,95.1006,255.07,2,1
140,548.839,160.497,2,1
141,415.914,16.1935,2,1
142,194.506,65.3956,2,1
143,189.872,249.432,2,1
144,521.329,282.001,2,1
145,152.575,280.37,2,1
146,15.3364,79.4181,2,1
147,47.1115,89.3427,2,0
148,69.1711,179.162,2,1
149,162.302,92.5021,2,1
150,176.149,191.328,2,1
151,242.008,213.984,2,1
152,253.624,278.865,2,1
153,345.332,267.895,2,1
154,432.464,185.355,2,1
155,527.133,269.181,2,1
156,321.834,254.81,2,1
157,334.225,295.624,2,1
158,554.464,9.28578,2,1
159,45.6457,34.8776,2,1
160,496.149,175.001,2,1
161,2.33783,275.505,2,1
162,448.02,219.559,2,1
163,279.789,237.889,2,1
164,442.792,281.674,2,1
165,580.798,168.194,2,1
166,436.551,13.6196,2,1
167,44.5351,72.2248,2,1
168,586.955,289.406,2,1
169,88.4867,126.703,2,1
170,100.791,227.305,2,1
171,224.204,2,2,1
172,262.179,263.364,2,1
173,336.216,245.719,2,1
174,123.236,124.957,2,1
175,184.228,107.854,2,1
176,183.401,133.9,2,1
