id,x,y,radius,is_spanning
0,105.86,86.9676,2,1
1,470.878,266.511,2,1
2,560.49,49.7028,2,1
3,438.123,179.504,2,1
4,399.08,281.345,2,1
5,518.208,119.694,2,1
6,561.817,116.983,2,1
7,39.4617,261.55,2,1
8,64.3538,152.484,2,1
9,131.233,186.123,2,1
10,371.778,172.178,2,1
11,500.568,265.184,2,1
12,439.154,260.167,2,1
13,229.651,214.606,2,1
14,489.957,104.146,2,1
15,53.5003,40.2248,2,1
16,258.225,2,2,1
17,153.158,210.018,2,1
18,524.716,56.322,2,1
19,86.05,87.1754,2,1
20,240.322,90.6261,2,1
21,52.2446,69.1334,2,1
22,481.034,138.527,2,1
23,284.531,72.9847,2,1
24,100.502,297.587,2,1
25,598.305,270.009,2,1
26,388.724,42.1149,2,1
27,100.962,21.0427,2,1
28,343.649,11.4528,2,1
29,202.952,253.812,2,1
30,597.261,191.215,2,1
31,487.789,238.381,2,1
32,474.271,62.0443,2,1
33,502.979,4.95087,2,1
34,365.812,107.211,2,1
35,288.953,286.602,2,1
36,188.274,18.4702,2,1
37,53.0243,184.877,2,1
38,85.6464,245.778,2,1
39,226.709,147.404,2,1
40,126.799,115.344,2,1
41,233.708,220.469,2,1
42,271.116,266.518,2,1
43,44.033,68.9813,2,1
44,89.158,180.594,2,1
45,576.136,179.771,2,1
46,571.503,122.163,2,1
47,100.596,231.322,2,1
48,488.557,42.9246,2,1
49,551.701,14.963,2,1
50,86.2363,18.3788,2,1
51,516.125,30.9263,2,1
52,263.219,57.4502,2,1
53,583.657,101.243,2,1
54,309.99,128.212,2,1
55,508.449,37.2035,2,1
56,326.972,162.156,2,1
57,77.701,12.4421,2,1
58,248.075,170.693,2,1
59,172.408,89.5359,2,1
60,353.87,276.34,2,1
61,178.084,217.148,2,1
62,102.478,24.8326,2,1
63,496.255,81.0084,2,1
64,276.799,279.829,2,1
65,215.027,171.819,2,1
66,532.322,241.914,2,1
67,451.46,292.749,2,1
68,155.366,218.376,2,1
69,38.8078,2,2,1
70,552.735,50.7697,2,1
71,14.4321,79.9319,2,1
72,34.1044,172.715,2,1
73,126.896,36.4456,2,1
74,160.998,184.306,2,1
75,207.229,295.375,2,1
76,277.852,70.622,2,1
77,76.9296,211.01,2,1
78,457.758,267.973,2,1
79,473.135,130.727,2,1
80,131.318,276.847,2,1
81,564.513,54.8463,2,1
82,84.4972,133.196,2,1
83,359.659,122.384,2,1
84,572.626,185.354,2,1
85,155.649,254.164,2,1
86,147.599,282.724,2,1
87,281.657,290.042,2,1
88,96.7474,11.9183,2,1
89,194.189,54.5715,2,1
90,499.283,147.354,2,1
91,176.096,120.639,2,1
92,263.474,90.1638,2,1
93,397.013,206.138,2,1
94,574.885,273.508,2,1
95,266.961,238.58,2,1
96,35.7341,277.203,2,1
97,356.569,199.53,2,1
98,594.672,115.353,2,1
99,120.157,134.527,2,1
100,290.101,180.521,2,1
101,144.87,92.9759,2,1
102,258.18,199.709,2,1
103,254.677,73.8414,2,1
104,150.578,269.83,2,1
105,362.768,140.763,2,1
106,314.899,167.088,2,1
107,424.636,79.2548,2,1
108,196.35,267.634,2,1
109,166.057,207.205,2,1
110,196.393,105.816,2,1
111,492.159,81.4299,2,1
112,459.074,195.258,2,1
113,158.751,34.9163,2,1
114,28.1258,147.283,2,1
115,256.774,20.9998,2,1
116,65.0384,139.845,2,1
117,367.946,131.166,2,1
118,108.533,240.029,2,1
119,170.068,179.023,2,1
120,325.272,56.9217,2,1
121,179.69,186.75,2,1
122,477.178,260.919,2,1
123,153.978,239.44,2,1
124,328.222,176.931,2,1
125,588.375,2,2,1
126,272.95,196.956,2,1
127,539.831,41.6784,2,1
128,432.457,220.854,2,1
129,196.762,42.7967,2,1
130,418.132,126.4,2,1
131,287.436,183.676,2,1
132,70.4555,180.77,2,1
133,357.152,232.756,2,1
134,10.1894,5.23892,2,1
135,383.292,109.362,2,1
136,308.444,2,2,1
137,477.615,271.008,2,1
138,353.143,173.153,2,1
139,123.633,57.0354,2,1
140,215.673,12.6846,2,1
141,435.909,163.959,2,1
142,306.151,99.9258,2,1
143,387.697,221.388,2,1
144,560.047,227.161,2,1
145,402.305,78.1451,2,1
146,533.003,117.898,2,1
147,411.554,54.1095,2,1
148,47.0166,189.605,2,1
149,136.888,15.275,2,1
150,523.245,37.0394,2,1
151,583.354,93.1108,2,1
152,498.613,123.168,2,1
153,541.031,26.8694,2,1
154,119.035,204.227,2,1
155,462.45,276.188,2,1
156,183.64,122.527,2,1
157,458.439,276.134,2,1
158,321.121,30.4151,2,1
159,478.103,89.5087,2,1
160,533.666,51.0275,2,1
161,237.597,115.415,2,1
162,405.085,154.542,2,1
163,519.279,180.152,2,1
164,598.278,211.686,2,1
165,159.739,145.715,2,1
166,453.261,209.197,2,1
167,107.646,217.351,2,1
168,81.2357,52.0866,2,1
169,547.032,192.911,2,1
170,262.837,258.767,2,1
171,598.349,130.918,2,1
172,554.854,138.913,2,1
173,583.351,113.111,2,1
174,22.1526,109.104,2,1
175,43.6414,272.271,2,1
176,319.083,92.7091,2,1
177,468.761,205.909,2,1
178,298.113,90.9805,2,1
179,167.649,77.8275,2,1
180,496.948,190.432,2,1
181,443.772,88.159,2,1
182,318.934,208.684,2,1
183,391.06,230.786,2,1
184,291.291,53.5937,2,1
185,463.649,157.193,2,1
186,336.193,61.1533,2,1
187,267.94,180.858,2,1
188,428.402,129.766,2,1
189,156.633,23.5141,2,1
190,166.057,179.041,2,1
191,327.388,265.38,2,1
192,518.673,155.482,2,1
193,424.212,291.287,2,1
194,405.354,88.136,2,1
195,505.955,241.399,2,1
196,473.894,167.205,2,1
197,130.874,142.421,2,1
198,253.328,27.491,2,1
199,350.993,236.5,2,1
200,396.067,21.8812,2,1
201,231.504,191.889,2,1
202,208.613,25.196,2,1
203,306.586,105.084,2,1
204,587.175,229.723,2,1
205,393.266,51.4919,2,1
206,366.722,55.3997,2,1
207,258.671,187.175,2,1
208,24.6598,28.8756,2,1
209,326.642,2,2,1
210,515.822,26.4206,2,1
211,58.9555,60.7663,2,1
212,574.443,298,2,1
213,78.2974,197.236,2,1
214,485.756,149.628,2,1
215,27.4959,276.199,2,1
216,8.8154,63.8413,2,1
217,47.8193,286.857,2,1
218,386.737,28.556,2,1
219,106.51,36.6091,2,1
220,30.3191,150.688,2,1
221,597.301,145.044,2,1
222,170.43,218.683,2,1
223,179.232,240.755,2,1
224,487.602,167.968,2,1
225,248.629,270.824,2,1
226,535.81,41.277,2,1
227,172.444,129.181,2,1
228,529.095,239.467,2,1
229,51.2036,197.006,2,1
230,145.653,205.572,2,1
231,366.039,210.319,2,1
232,283.189,119.48,2,1
233,429.092,281.034,2,1
234,456.152,271.728,2,1
235,439.68,271.382,2,1
236,551.761,110.119,2,1
237,375.774,25.9789,2,1
238,556.587,239.194,2,1
239,274.563,285.995,2,1
240,225.618,9.78444,2,1
241,63.6398,288.741,2,1
242,78.9652,2,2,1
243,465.651,54.9109,2,1
244,2.36331,130.348,2,1
245,380.569,239.692,2,1
246,469.427,52.4902,2,1
247,7.7997,68.8233,2,1
248,564.497,155.912,2,1
249,432.722,150.567,2,1
250,49.8208,275.433,2,1
251,503.619,57.1977,2,1
252,430.13,95.6141,2,1
253,84.6525,186.798,2,1
254,535.633,58.8067,2,1
255,589.257,172.569,2,1
256,398.864,244.711,2,1
257,87.8517,90.7773,2,1
258,222.229,61.2236,2,1
259,225.519,213.951,2,1
260,523.623,204.344,2,1
261,502.102,252.508,2,1
262,589.786,147.061,2,1
263,517.585,161.505,2,1
264,527.553,31.6212,2,1
265,31.6386,216.872,2,1
266,163.162,152.724,2,1
