id,x,y,radius,is_spanning
0,130.693,264.704,2,1
1,143.488,192.829,2,1
2,568.873,209.033,2,1
3,98.6112,193.281,2,1
4,22.1214,38.0874,2,1
5,474.324,148.283,2,1
6,205.93,190.57,2,1
7,36.4981,108.385,2,1
8,355.869,292.729,2,1
9,404.604,210.314,2,1
10,367.126,59.3687,2,0
11,390.662,41.8925,2,0
12,18.1331,128.734,2,1
13,476.445,112.283,2,1
14,482.776,200.239,2,1
15,592.437,27.228,2,0
16,158.329,208.826,2,1
17,319.531,268.018,2,1
18,538.538,292.461,2,1
19,518.867,110.503,2,1
20,119.798,90.2866,2,0
21,34.4776,165.358,2,1
22,319.934,10.6192,2,1
23,52.2211,50.1982,2,1
24,154.012,284.698,2,1
25,61.8336,133.011,2,1
26,323.718,20.7126,2,1
27,316.038,12.9877,2,1
28,263.153,212.731,2,1
29,144.378,31.3273,2,1
30,216.137,152.663,2,1
31,49.0126,128.248,2,1
32,502.828,78.4685,2,1
33,334.33,238.753,2,1
34,129.149,196.935,2,1
35,474.285,97.5128,2,1
36,573.123,238.2,2,1
37,503.785,177.043,2,1
38,120.922,188.678,2,1
39,396.574,173.706,2,1
40,396.936,214.289,2,1
41,519.901,133.284,2,1
42,416.918,70.0246,2,1
43,67.3228,8.63655,2,1
44,132.936,101.173,2,1
45,108.384,228.243,2,1
46,523.182,127.225,2,1
47,298.783,21.1043,2,1
48,415.407,105.265,2,1
49,440.011,227.517,2,1
50,357.943,221.067,2,1
51,47.4191,226.914,2,1
52,316.513,209.153,2,1
53,320.925,120.882,2,1
54,359.671,224.75,2,1
55,220.866,53.8528,2,0
56,57.1234,282.603,2,1
57,111.333,33.2092,2,1
58,51.6588,200.582,2,1
59,255.616,274.29,2,1
60,454.391,36.8235,2,1
61,269.047,153.186,2,1
62,574.404,263.539,2,1
63,169.263,198.914,2,1
64,571.486,156.688,2,1
65,344.684,62.6316,2,1
66,443.619,67.1979,2,0
67,85.9243,195.576,2,1
68,214.733,148.526,2,1
69,137.638,36.0994,2,1
70,494.321,285.945,2,1
71,587.34,108.72,2,1
72,69.1757,181.404,2,1
73,116.503,68.1866,2,1
74,285.13,71.779,2,1
75,46.6378,120.92,2,1
76,233.449,101.546,2,1
77,553.869,172.052,2,1
78,215.332,60.5041,2,1
79,316.48,174.914,2,1
80,207.003,139.357,2,1
81,107.403,30.8495,2,1
82,596.588,230.598,2,1
83,81.7755,143.231,2,1
84,39.6986,294.946,2,1
85,585.694,250.052,2,1
86,471.289,214.685,2,1
87,173.971,17.3507,2,1
88,232.605,262.557,2,1
89,100.807,272.131,2,1
90,432.471,9.92974,2,0
91,47.0365,99.014,2,1
92,510.85,252.382,2,1
93,369.938,11.1359,2,0
94,236.327,108.542,2,1
95,78.469,114.942,2,1
96,228.613,36.0969,2,1
97,193.529,231.804,2,1
98,4.9921,283.782,2,1
99,524.421,29.8241,2,1
100,8.61401,117.831,2,1
101,599.7,223.089,2,1
102,132.111,67.2657,2,1
103,328.607,154.569,2,1
104,274.219,82.8745,2,1
105,226.333,156.606,2,1
106,7.69858,214.726,2,1
107,260.074,122.526,2,1
108,487.231,298,2,1
109,541.745,161.438,2,1
110,224.319,137.087,2,1
111,444.709,138.225,2,1
112,580.796,175.55,2,1
113,31.8005,96.2053,2,1
114,28.1746,119.536,2,1
115,564.997,178.996,2,1
116,212.282,93.212,2,1
117,384.621,39.3884,2,1
118,149.385,159.008,2,1
119,80.9982,20.5552,2,1
120,121.888,298,2,1
121,531.141,14.7143,2,1
122,539.454,96.1632,2,1
123,302.812,79.9129,2,1
124,592.963,260.328,2,1
125,114.368,224.335,2,1
126,301.403,244.297,2,1
127,183.273,127.883,2,1
128,188.477,277.215,2,1
129,45.1088,284.022,2,1
130,391.907,200.84,2,1
131,487.134,278.938,2,1
132,485.222,33.9109,2,1
133,370.548,48.5341,2,1
134,416.205,179.039,2,1
135,553.06,232.845,2,1
136,388.405,81.0547,2,1
137,304.212,298,2,1
138,339.12,75.0039,2,1
139,594.615,47.9148,2,0
140,157.273,5.9651,2,1
141,51.0242,70.0788,2,0
142,139.487,58.8519,2,1
143,436.443,163.665,2,1
144,345.853,185.248,2,1
145,11.5657,289.585,2,1
146,546.811,225.085,2,1
147,49.5351,208.877,2,1
148,26.6787,256.263,2,1
149,371.858,140.295,2,1
150,319.16,60.9153,2,1
151,409.017,183.143,2,1
152,527.994,299.461,2,1
153,474.877,101.471,2,1
154,120.252,94.2611,2,0
155,445.393,45.0546,2,1
156,135.19,270.257,2,1
157,404.588,278.041,2,1
158,70.8704,34.2686,2,0
159,143.723,99.0284,2,1
160,576.608,255.643,2,1
161,227.066,215.799,2,1
162,422.002,239.922,2,1
163,493.891,239.546,2,1
164,545.041,206.27,2,1
165,390.565,268.353,2,1
166,562.449,292.237,2,1
167,500.359,291.1,2,1
168,413.655,233.172,2,1
169,425.57,154.328,2,1
170,201.273,226.912,2,1
171,344.532,132.813,2,1
172,421.325,254.094,2,1
173,446.087,5.41904,2,1
174,170.053,218.177,2,1
175,561.378,186.831,2,1
176,128.428,268.709,2,1
177,41.658,255.977,2,1
178,193.315,132.658,2,1
179,283.655,189.1,2,1
180,564.97,51.5918,2,1
181,544.527,5.99642,2,1
182,346.736,41.0548,2,1
183,537.136,187.612,2,1
184,382.565,201.378,2,1
185,290.19,195.839,2,1
186,172.324,50.903,2,1
187,240.112,279.976,2,1
188,461.415,177.17,2,1
189,458.306,161.744,2,1
190,396.382,64.9594,2,1
191,163.81,284.23,2,1
192,2.58308,130.763,2,1
193,599.289,145.359,2,1
194,118.852,112.826,2,1
195,494.629,48.0388,2,0
196,488.832,219.125,2,1
197,280.901,155.693,2,1
198,323.186,220.962,2,1
199,40.785,136.832,2,1
200,476.585,294.687,2,1
201,421.835,223.393,2,1
202,70.9163,2,2,1
203,562.526,250.429,2,1
204,6.13797,191.536,2,1
205,9.59744,100.335,2,1
206,16.1957,254.73,2,1
207,157.69,118.443,2,1
208,335.312,147.114,2,1
209,278.241,19.2308,2,1
210,271.691,8.74146,2,1
211,497.813,116.619,2,1
212,112.173,216.817,2,1
213,301.826,212.952,2,1
214,127.59,292.638,2,1
215,286.149,284.421,2,1
216,382.264,167.988,2,1
217,571.582,266.663,2,1
218,572.215,67.8997,2,1
219,25.7692,261.324,2,1
220,538.725,82.9193,2,1
221,334.277,107.481,2,1
222,594.268,201.801,2,1
223,460.633,8.98455,2,1
224,223.714,256.544,2,1
225,370.732,92.7561,2,1
226,100.336,150.133,2,1
227,24.033,86.6447,2,1
228,103.365,35.7222,2,1
229,40.919,168.572,2,1
230,80.8087,223.786,2,1
231,117.713,42.1041,2,1
232,398.857,152.714,2,1
233,500.193,2,2,1
234,437.48,250.492,2,1
235,60.961,137.019,2,1
236,401.352,104.622,2,1
237,221.969,230.25,2,1
238,237.116,271.317,2,1
239,152.96,177.958,2,1
240,248.94,133.786,2,1
241,455.203,249.349,2,1
242,376.941,287.417,2,1
243,237.796,225.208,2,1
244,287.125,192.998,2,1
245,534.253,6.7854,2,1
246,198.939,90.021,2,0
247,442.211,42.357,2,1
248,19.2293,193.231,2,1
249,273.42,51.8979,2,1
250,455.314,298,2,1
251,508.828,22.6633,2,0
252,296.418,50.865,2,1
253,379.378,66.9604,2,1
254,308.985,106.73,2,1
255,35.994,204.013,2,1
256,568.219,117.878,2,1
257,596.615,290.466,2,1
258,481.192,276.064,2,1
259,277.645,288.034,2,1
260,567.961,139.769,2,1
261,179.704,275.123,2,1
262,175.786,168.722,2,1
263,351.328,50.8133,2,1
264,62.9369,35.2943,2,1
265,133.972,284.293,2,1
266,21.41,244.944,2,1
267,586.536,197.162,2,1
268,75.0566,144.297,2,1
269,174.756,60.4779,2,1
270,523.585,117.431,2,1
271,240.271,177.69,2,1
272,585.744,223.405,2,1
273,477.116,282.588,2,1
274,70.0135,118.706,2,1
275,572.133,234.15,2,1
276,311.375,241.935,2,1
277,148.61,125.268,2,1
278,160.514,78.8063,2,1
279,540.456,121.236,2,1
280,218.39,57.6985,2,1
281,468.404,248.635,2,1
