id,x,y,radius,is_spanning
0,139.095,155.818,2,1
1,85.0977,270.154,2,1
2,546.416,290.543,2,1
3,131.852,98.0086,2,1
4,278.095,179.856,2,1
5,338.645,132.601,2,1
6,61.0778,59.7264,2,1
7,104.661,12.9675,2,1
8,589.124,73.7937,2,0
9,178.115,261.944,2,1
10,565.545,155.09,2,1
11,274.948,85.4347,2,1
12,587.736,100.952,2,1
13,147.253,17.344,2,1
14,342.589,247.043,2,1
15,282.115,103.396,2,1
16,281.75,147.205,2,1
17,482.194,128.815,2,1
18,560.943,85.3088,2,1
19,249.97,256.055,2,1
20,506.637,70.4876,2,1
21,121.726,174.826,2,1
22,59.2116,81.9156,2,1
23,231.666,156.009,2,1
24,78.6556,263.258,2,1
25,464.855,172.904,2,1
26,134.999,218.131,2,1
27,326.055,279.237,2,1
28,428.436,110.713,2,1
29,489.2,140.469,2,1
30,44.8817,235.601,2,1
31,387.79,34.3556,2,1
32,493.421,112.947,2,1
33,73.3095,37.5995,2,1
34,127.45,216.953,2,1
35,304.914,59.7389,2,1
36,221.639,86.5677,2,1
37,357.417,248.063,2,1
38,306.737,275.736,2,1
39,445.521,190.183,2,1
40,597.046,218.597,2,1
41,125.499,199.319,2,1
42,411.701,282.827,2,1
43,379.687,274.889,2,1
44,172.678,102.863,2,1
45,584.569,162.089,2,1
46,400.693,237.45,2,1
47,590.34,207.679,2,1
48,426.696,82.5157,2,1
49,456.492,146.987,2,1
50,226.063,285.767,2,1
51,562.61,5.5486,2,1
52,230.292,199.733,2,1
53,49.1683,109.554,2,1
54,271.045,187.485,2,1
55,272.525,147.199,2,1
56,381.03,200.874,2,1
57,483.58,284.958,2,1
58,220.011,75.0259,2,1
59,523.749,194.819,2,1
60,321.747,69.5953,2,1
61,370.886,100.577,2,1
62,156.057,268.901,2,1
63,166.124,8.74783,2,1
64,380.311,193.999,2,1
65,515.639,211.52,2,1
66,458.85,57.0405,2,1
67,538.824,208.311,2,1
68,247.617,207.311,2,1
69,570.402,14.4736,2,1
70,350.103,35.7811,2,1
71,138.147,186.654,2,1
72,206.312,271.54,2,1
73,327.036,166.349,2,1
74,534.502,282.575,2,1
75,364.614,113.519,2,1
76,322.837,156.471,2,1
77,594.394,243.112,2,1
78,411.78,94.5736,2,1
79,363.286,81.6145,2,1
80,227.064,105.497,2,1
81,576.101,92.2339,2,1
82,527.638,105.457,2,1
83,591.173,53.5835,2,1
84,353.757,282.012,2,1
85,4.67048,240.024,2,1
86,359.575,52.2795,2,1
87,439.614,156.591,2,1
88,242.441,201.668,2,1
89,325.483,124.293,2,1
90,566.034,104.123,2,1
91,535.809,182.59,2,1
92,379.32,215.616,2,1
93,335.211,29.5415,2,1
94,211.585,187.682,2,1
95,68.8314,43.8514,2,1
96,514.196,236.277,2,1
97,383.729,66.4884,2,1
98,124.528,45.8253,2,1
99,504.877,14.0087,2,1
100,81.8161,91.1432,2,1
101,508.786,58.566,2,1
102,573.998,212.911,2,1
103,317.897,266.089,2,1
104,403.16,187.387,2,1
105,36.3411,252.717,2,1
106,119.382,20.3349,2,1
107,102.736,139.649,2,1
108,269.879,108.444,2,1
109,523.506,132.428,2,1
110,8.84767,2,2,1
111,27.7836,235.457,2,1
112,116.376,9.68028,2,1
113,276.592,147.295,2,1
114,525.158,228.466,2,1
115,516.686,29.0037,2,1
116,345.908,42.6725,2,1
117,353.858,242.012,2,1
118,364.859,9.37648,2,1
119,82.3351,249.638,2,1
120,19.8225,189.383,2,1
121,265.718,271.827,2,1
122,36.6312,228.017,2,1
123,589.932,276.584,2,1
124,194.004,252.172,2,1
125,128.673,78.7719,2,1
126,589.026,2,2,1
127,150.864,50.5369,2,1
128,151.992,159.946,2,1
129,448.604,31.5622,2,1
130,74.8888,159.873,2,1
131,433.701,229.616,2,1
132,116.088,255.578,2,1
133,51.3691,33.4151,2,0
134,217.354,161.029,2,1
135,295.563,124.931,2,1
136,215.526,35.373,2,1
137,70.6523,117.893,2,1
138,65.6252,256.226,2,1
139,539.917,93.2803,2,1
140,278.081,154.301,2,1
141,359.7,104.947,2,1
142,439.983,175.498,2,1
143,506.37,163.122,2,1
144,68.2831,114.447,2,1
145,163.114,221.074,2,1
146,76.3849,256.258,2,1
147,342.909,242.863,2,1
148,52.9195,141.559,2,1
149,507.712,256.614,2,1
150,94.2828,154.949,2,1
151,155.172,298,2,1
152,78.4016,216.806,2,1
153,556.231,177.888,2,1
154,10.1362,192.714,2,1
155,394.132,199.961,2,1
156,369.315,2,2,1
157,415.591,56.2542,2,1
158,350.547,209.966,2,1
159,271.181,151.549,2,1
160,127.239,82.5803,2,1
161,401.326,59.3271,2,1
162,534.103,145.739,2,1
163,133.477,35.6041,2,1
164,339.155,11.1621,2,1
165,383.665,236.863,2,1
166,68.0558,277.743,2,1
167,484.851,58.0821,2,1
168,545.024,187.873,2,1
169,462.806,9.00683,2,1
170,489.641,274.071,2,1
171,55.4372,251.449,2,1
172,349.609,195.829,2,1
173,311.107,279.495,2,1
174,195.096,13.0043,2,1
175,586.687,43.1195,2,1
176,340.245,122.021,2,1
177,489.799,297.334,2,1
178,539.052,251.171,2,1
179,502.67,127.69,2,1
180,427.636,279.963,2,1
181,222.535,260.053,2,1
182,341.474,178.6,2,1
183,163.475,24.2699,2,1
184,456.112,252.117,2,1
185,170.359,278.878,2,1
186,90.1938,64.645,2,1
187,224.655,5.64168,2,1
188,215.911,275.438,2,1
189,165.895,224.532,2,1
190,45.0274,264.253,2,1
191,525.891,257.934,2,1
192,563.791,230.543,2,1
193,47.8191,51.292,2,1
194,111.248,229.988,2,1
195,548.878,206.888,2,1
196,464.857,196.98,2,1
197,28.0582,255.207,2,1
198,430.736,28.6684,2,1
199,343.652,95.0497,2,1
200,288.1,20.6794,2,1
201,153.645,272.133,2,1
202,138.729,282.948,2,1
203,471.274,192.227,2,1
204,95.3443,20.2564,2,1
205,75.6245,53.3777,2,1
206,384.738,211.168,2,1
207,302.643,197.773,2,1
208,156.978,194.617,2,1
209,306.66,250.377,2,1
210,384.494,84.4948,2,1
211,308.349,98.1436,2,1
212,297.348,213.73,2,1
213,103.548,45.0205,2,1
214,472.903,148.386,2,1
215,76.6417,170.969,2,1
216,402.192,283.224,2,1
217,297.15,219.74,2,1
218,106.806,241.482,2,1
219,337.942,159.697,2,1
220,386.214,148.496,2,1
221,28.8571,111.448,2,1
222,185.067,225.539,2,1
223,518.524,129.745,2,1
224,417.451,298,2,1
225,320.509,84.2316,2,1
226,448.182,88.6792,2,1
227,16.0283,104.755,2,1
228,484.349,120.515,2,1
229,269.805,206.434,2,1
230,3.88728,257.46,2,1
231,371.551,206.013,2,1
232,540.974,16.2419,2,1
233,32.7739,196.418,2,1
234,350.392,271.959,2,1
235,576.222,269.829,2,1
236,85.694,165.277,2,1
237,45.3855,288.087,2,1
238,330.614,93.5012,2,1
239,550.563,113.259,2,1
240,264.778,158.272,2,1
241,490.408,84.6007,2,1
242,132.325,208.329,2,1
243,436.98,232.709,2,1
244,102.512,248.861,2,1
245,187.049,293.928,2,1
246,11.2092,244.63,2,1
247,389.857,245.401,2,1
248,185.236,169.769,2,1
249,493.854,189.488,2,1
250,109.282,12.6369,2,1
251,108.806,220.756,2,1
252,380.22,19.9724,2,1
253,433.744,148.275,2,1
254,357.343,292.421,2,1
255,207.399,26.5819,2,1
256,116.244,134.383,2,1
257,518.364,267.78,2,1
258,289.293,211.495,2,1
259,45.772,141.831,2,1
260,534.485,298,2,1
261,213.544,155.059,2,1
262,132.707,79.2969,2,1
263,305.649,39.8313,2,1
264,263.071,236.706,2,1
265,16.2921,72.4878,2,1
266,532.288,287.359,2,1
267,246.44,285.016,2,1
268,185.929,264.78,2,1
269,102.653,9.50205,2,1
270,531.663,188.471,2,1
271,260.427,185.89,2,1
272,199.043,166.808,2,1
273,145.061,219.253,2,1
274,220.41,256.256,2,1
275,247.268,154.489,2,1
276,521.46,71.0198,2,1
277,425.013,86.2523,2,1
278,500.924,103.641,2,1
279,9.17082,206.454,2,1
280,312.479,167.23,2,1
281,411.171,28.0646,2,0
282,340.781,236.903,2,1
283,419.257,15.5015,2,1
284,588.861,9.13868,2,1
285,515.591,150.713,2,1
286,212.937,107.518,2,1
287,535.976,238.643,2,1
288,174.351,242.061,2,1
289,171.83,127.165,2,1
290,556.267,21.2647,2,1
291,596.053,72.98,2,1
292,573.604,262.213,2,1
293,525.99,268.996,2,1
294,283.169,70.359,2,1
295,431.149,294.272,2,1
296,97.6536,266.835,2,1
297,196.686,184.665,2,1
298,208.53,80.9217,2,1
299,293.688,181.308,2,1
300,60.1036,195.796,2,1
301,466.832,69.5063,2,1
302,409.789,217.175,2,1
303,141.283,32.8336,2,1
304,255.144,156.184,2,1
305,85.1076,242.843,2,1
306,501.202,57.4959,2,1
307,273.326,127.12,2,1
308,8.67621,218.701,2,1
309,343.147,80.1736,2,1
310,452.255,211.055,2,1
311,570.35,100.324,2,1
312,12.6082,89.5592,2,1
313,372.22,240.382,2,1
314,591.63,203.844,2,1
315,333.456,137.704,2,1
316,547.599,39.4494,2,1
317,318.458,45.8525,2,1
318,531.235,148.684,2,1
319,117.336,102.799,2,1
320,49.7129,148.992,2,1
321,193.98,23.9345,2,0
322,80.85,95.2072,2,1
323,224.534,164.883,2,1
324,21.0159,38.1206,2,1
325,230.173,187.206,2,1
326,191.829,38.021,2,1
327,1.86691,189.433,2,1
328,434.999,63.1462,2,1
329,379.266,176.063,2,1
